topic_label_api,paper_count,publication_year_span,avg_citation_count,avg_impact_breadth_score,top12_audited_count,top12_aligned_count,top12_corrected_count,top12_needs_review_count,review_priority,representative_examples,careful_wording_boundary,remaining_human_check,source_files
Database / Systems,67,1974-2008,1059.1,55.58,1,1,0,0,medium,Mining Association Rules Between Sets of Items in Large Databases (1993; aligned; manual: Database / Association Rules); Chord: A Scalable Peer-to-peer Lookup Service for Internet Applications (2001; API topic: Database / Systems); A Scalable Content-addressable Network (2001; API topic: Database / Systems),"Top-12 checked cases currently align, but the label is still a project grouping rather than an official taxonomy.",Keep evidence URLs open when converting the checked cases into final prose.,data/papers_enriched.csv; docs/analysis/manual_topic_audit_top12.csv; manual_annotations/manual_paper_annotations_top12_evidence_ready.csv
Data Mining / Web,46,1974-2008,1189.0,58.41,4,3,0,1,medium,"Graphs over Time: Densification Laws, Shrinking Diameters and Possible Explanations (2005; aligned; manual: Data Mining / Network Science); Multitasking without compromise: a virtual machine evolution (2001; needs review; manual: Programming Languages / Virtual Machines); Research Areas in Computer Communication (1974; aligned; manual: Networking / Research Agenda)",Use this automatic topic as a starting grouping; prefer manually checked labels for named representative papers.,module owner should verify corrected / needs-review cases before using them as slide examples.,data/papers_enriched.csv; docs/analysis/manual_topic_audit_top12.csv; manual_annotations/manual_paper_annotations_top12_evidence_ready.csv
Computer Vision,43,1982-2006,2848.7,61.24,3,2,1,0,high,A Density-Based Algorithm for Discovering Clusters in Large Spatial Databases with Noise (1996; corrected; manual: Data Mining / Clustering); Snakes: Active Contour Models (1987; aligned; manual: Computer Vision / Segmentation); Object Recognition from Local Scale-Invariant Features (1999; aligned; manual: Computer Vision / Local Features),Use this automatic topic as a starting grouping; prefer manually checked labels for named representative papers.,module owner should verify corrected / needs-review cases before using them as slide examples.,data/papers_enriched.csv; docs/analysis/manual_topic_audit_top12.csv; manual_annotations/manual_paper_annotations_top12_evidence_ready.csv
Natural Language Processing,26,1980-2008,1333.9,58.21,1,0,1,0,high,Probabilistic Models of Indexing and Searching (1980; corrected; manual: Information Retrieval / Probabilistic Models); A Unified Architecture for Natural Language Processing: Deep Neural Networks with Multitask Learning (2008; API topic: Natural Language Processing); Probabilistic Latent Semantic Indexing (1999; API topic: Natural Language Processing),Use this automatic topic as a starting grouping; prefer manually checked labels for named representative papers.,module owner should verify corrected / needs-review cases before using them as slide examples.,data/papers_enriched.csv; docs/analysis/manual_topic_audit_top12.csv; manual_annotations/manual_paper_annotations_top12_evidence_ready.csv
Machine Learning Theory,18,1975-2007,892.4,56.22,1,0,1,0,high,Network Information Flow (2000; corrected; manual: Information Theory / Network Coding); Random Features for Large-Scale Kernel Machines (2007; API topic: Machine Learning Theory); A New Method for Solving Hard Satisfiability Problems (1992; API topic: Machine Learning Theory),Use this automatic topic as a starting grouping; prefer manually checked labels for named representative papers.,module owner should verify corrected / needs-review cases before using them as slide examples.,data/papers_enriched.csv; docs/analysis/manual_topic_audit_top12.csv; manual_annotations/manual_paper_annotations_top12_evidence_ready.csv
Human-Computer Interaction,13,1978-2006,2377.8,52.32,1,0,1,0,high,Ad-hoc On-Demand Distance Vector Routing (1999; corrected; manual: Networking / Mobile Ad Hoc Routing); Wake on Wireless: An Event Driven Energy Saving Strategy for Battery Operated Devices (2002; API topic: Human-Computer Interaction); A Look Back and a Look Forward (1988; API topic: Human-Computer Interaction),Use this automatic topic as a starting grouping; prefer manually checked labels for named representative papers.,module owner should verify corrected / needs-review cases before using them as slide examples.,data/papers_enriched.csv; docs/analysis/manual_topic_audit_top12.csv; manual_annotations/manual_paper_annotations_top12_evidence_ready.csv
Reinforcement Learning,8,1987-2006,517.0,55.84,0,0,0,0,low,"Trickle: A Self-Regulating Algorithm for Code Propagation and Maintenance in Wireless Sensor Networks (2004; API topic: Reinforcement Learning); Reactive Reasoning and Planning (1987; API topic: Reinforcement Learning); ARC: A Self-Tuning, Low Overhead Replacement Cache (2003; API topic: Reinforcement Learning)",No Top-12 manual check yet; use aggregate counts only and avoid detailed case claims until a representative row is reviewed.,"If this topic appears in final PPT, choose one representative paper and add a manual topic/evidence check.",data/papers_enriched.csv; docs/analysis/manual_topic_audit_top12.csv; manual_annotations/manual_paper_annotations_top12_evidence_ready.csv
Real-Time / Embedded Systems,5,1979-2007,687.0,53.12,1,1,0,0,medium,Modeling TCP Throughput: A Simple Model and Its Empirical Validation (1998; aligned; manual: Networking / TCP Performance Modeling); Analysis and Simulation of a Fair Queueing Algorithm (1989; API topic: Real-Time / Embedded Systems); On the Self-Similar Nature of Ethernet Traffic (1993; API topic: Real-Time / Embedded Systems),"Top-12 checked cases currently align, but the label is still a project grouping rather than an official taxonomy.",Keep evidence URLs open when converting the checked cases into final prose.,data/papers_enriched.csv; docs/analysis/manual_topic_audit_top12.csv; manual_annotations/manual_paper_annotations_top12_evidence_ready.csv
Computer science,4,1976-1988,157.5,48.94,0,0,0,0,low,An Introduction to the Construction and Verification of Alphard Programs (1976; API topic: Computer science); Disk Shadowing (1988; API topic: Computer science); A New Theoretical Framework for Information Retrieval (1986; API topic: Computer science),No Top-12 manual check yet; use aggregate counts only and avoid detailed case claims until a representative row is reviewed.,"If this topic appears in final PPT, choose one representative paper and add a manual topic/evidence check.",data/papers_enriched.csv; docs/analysis/manual_topic_audit_top12.csv; manual_annotations/manual_paper_annotations_top12_evidence_ready.csv
Fairness / Evaluation,4,1986-2006,879.0,48.84,0,0,0,0,low,The DaCapo benchmarks: Java benchmarking development and analysis (2006; API topic: Fairness / Evaluation); Congestion Control for High Bandwidth-Delay Product Networks (2002; API topic: Fairness / Evaluation); Hard and Easy Distribution of SAT Problems (1992; API topic: Fairness / Evaluation),No Top-12 manual check yet; use aggregate counts only and avoid detailed case claims until a representative row is reviewed.,"If this topic appears in final PPT, choose one representative paper and add a manual topic/evidence check.",data/papers_enriched.csv; docs/analysis/manual_topic_audit_top12.csv; manual_annotations/manual_paper_annotations_top12_evidence_ready.csv
Security / Privacy,4,1998-2007,768.0,59.87,0,0,0,0,low,StackGuard: Automatic Adaptive Detection and Prevention of Buffer-Overflow Attacks (1998; API topic: Security / Privacy); Inferring Internet Denial-of-Service Activity (2001; API topic: Security / Privacy); Ethane: Taking control of the Enterprise (2007; API topic: Security / Privacy),No Top-12 manual check yet; use aggregate counts only and avoid detailed case claims until a representative row is reviewed.,"If this topic appears in final PPT, choose one representative paper and add a manual topic/evidence check.",data/papers_enriched.csv; docs/analysis/manual_topic_audit_top12.csv; manual_annotations/manual_paper_annotations_top12_evidence_ready.csv
Citation,2,1996-1999,1255.5,57.50,0,0,0,0,low,An Algorithmic Framework for Performing Collaborative Filtering (1999; API topic: Citation); Pivoted Document Length Normalization (1996; API topic: Citation),No Top-12 manual check yet; use aggregate counts only and avoid detailed case claims until a representative row is reviewed.,"If this topic appears in final PPT, choose one representative paper and add a manual topic/evidence check.",data/papers_enriched.csv; docs/analysis/manual_topic_audit_top12.csv; manual_annotations/manual_paper_annotations_top12_evidence_ready.csv
Cluster analysis,1,1992-1992,947.0,52.50,0,0,0,0,low,Scatter/Gather: A Cluster-based approach to Browsing Large Document Collections (1992; API topic: Cluster analysis),No Top-12 manual check yet; use aggregate counts only and avoid detailed case claims until a representative row is reviewed.,"If this topic appears in final PPT, choose one representative paper and add a manual topic/evidence check.",data/papers_enriched.csv; docs/analysis/manual_topic_audit_top12.csv; manual_annotations/manual_paper_annotations_top12_evidence_ready.csv
Computer network,1,2006-2006,2274.0,65.50,0,0,0,0,low,XORs in the air: practical wireless network coding (2006; API topic: Computer network),No Top-12 manual check yet; use aggregate counts only and avoid detailed case claims until a representative row is reviewed.,"If this topic appears in final PPT, choose one representative paper and add a manual topic/evidence check.",data/papers_enriched.csv; docs/analysis/manual_topic_audit_top12.csv; manual_annotations/manual_paper_annotations_top12_evidence_ready.csv
Implementation,1,1988-1988,89.0,57.50,0,0,0,0,low,Measured Capacity of an Ethernet: Myths and Reality (1988; API topic: Implementation),No Top-12 manual check yet; use aggregate counts only and avoid detailed case claims until a representative row is reviewed.,"If this topic appears in final PPT, choose one representative paper and add a manual topic/evidence check.",data/papers_enriched.csv; docs/analysis/manual_topic_audit_top12.csv; manual_annotations/manual_paper_annotations_top12_evidence_ready.csv
Metaprogramming,1,2004-2004,169.0,63.12,0,0,0,0,low,Mirrors: Design Principles for Meta-level Facilities of Object-Oriented Programming Languages (2004; API topic: Metaprogramming),No Top-12 manual check yet; use aggregate counts only and avoid detailed case claims until a representative row is reviewed.,"If this topic appears in final PPT, choose one representative paper and add a manual topic/evidence check.",data/papers_enriched.csv; docs/analysis/manual_topic_audit_top12.csv; manual_annotations/manual_paper_annotations_top12_evidence_ready.csv
Multicast,1,1988-1988,191.0,58.50,0,0,0,0,low,Multicast Routing in Internetworks and Extended LANs (1988; API topic: Multicast),No Top-12 manual check yet; use aggregate counts only and avoid detailed case claims until a representative row is reviewed.,"If this topic appears in final PPT, choose one representative paper and add a manual topic/evidence check.",data/papers_enriched.csv; docs/analysis/manual_topic_audit_top12.csv; manual_annotations/manual_paper_annotations_top12_evidence_ready.csv
Network topology,1,2002-2002,1277.0,50.62,0,0,0,0,low,Measuring ISP Topologies with Rocketfuel (2002; API topic: Network topology),No Top-12 manual check yet; use aggregate counts only and avoid detailed case claims until a representative row is reviewed.,"If this topic appears in final PPT, choose one representative paper and add a manual topic/evidence check.",data/papers_enriched.csv; docs/analysis/manual_topic_audit_top12.csv; manual_annotations/manual_paper_annotations_top12_evidence_ready.csv
Path loss,1,2004-2004,1002.0,44.50,0,0,0,0,low,Link-level measurements from an 802.11b mesh network (2004; API topic: Path loss),No Top-12 manual check yet; use aggregate counts only and avoid detailed case claims until a representative row is reviewed.,"If this topic appears in final PPT, choose one representative paper and add a manual topic/evidence check.",data/papers_enriched.csv; docs/analysis/manual_topic_audit_top12.csv; manual_annotations/manual_paper_annotations_top12_evidence_ready.csv
RAID,1,2004-2004,493.0,44.75,0,0,0,0,low,Row-Diagonal Parity for Double Disk Failure Correction (2004; API topic: RAID),No Top-12 manual check yet; use aggregate counts only and avoid detailed case claims until a representative row is reviewed.,"If this topic appears in final PPT, choose one representative paper and add a manual topic/evidence check.",data/papers_enriched.csv; docs/analysis/manual_topic_audit_top12.csv; manual_annotations/manual_paper_annotations_top12_evidence_ready.csv
Router,1,2004-2004,682.0,56.25,0,0,0,0,low,Sizing router buffers (2004; API topic: Router),No Top-12 manual check yet; use aggregate counts only and avoid detailed case claims until a representative row is reviewed.,"If this topic appears in final PPT, choose one representative paper and add a manual topic/evidence check.",data/papers_enriched.csv; docs/analysis/manual_topic_audit_top12.csv; manual_annotations/manual_paper_annotations_top12_evidence_ready.csv
