paper_id,title,venue,year,api_topic,proposed_manual_topic,topic_audit_status,topic_confidence,why_this_label,careful_wording_boundary,human_check_next_step
kdd_1996_1b93ceb4,A Density-Based Algorithm for Discovering Clusters in Large Spatial Databases with Noise,KDD,1996,Computer Vision,Data Mining / Clustering,corrected,high,DBSCAN is a density-based clustering algorithm and should not be introduced as a computer-vision paper.,Use as a data-mining clustering method case rather than evidence for the Computer Vision aggregate.,Confirm award citation wording and keep the corrected manual topic in report/PPT.
iccv_1987_56f24279,Snakes: Active Contour Models,ICCV,1987,Computer Vision,Computer Vision / Segmentation,aligned,high,The title and venue directly support active contours for image segmentation/boundary modeling.,Safe as a computer-vision foundational model case; avoid claiming all later segmentation methods derive from it.,Open DOI/paper page before finalizing the one-sentence contribution.
kdd_2005_ebddb36d,"Graphs over Time: Densification Laws, Shrinking Diameters and Possible Explanations",KDD,2005,Data Mining / Web,Data Mining / Network Science,aligned,high,The paper analyzes temporal graph patterns and fits data-mining/network-science framing.,Use breadth as OpenAlex sampled proxy only; do not call it complete cross-field diffusion.,Check whether the chosen slide emphasizes empirical laws rather than official award reasoning.
oopsla_2001_a9f21d83,Multitasking without compromise: a virtual machine evolution,OOPSLA,2001,Data Mining / Web,Programming Languages / Virtual Machines,corrected,medium,Venue and title suggest PL/systems VM design rather than Data Mining / Web; existing notes flag DOI/match verification risk.,Treat as a candidate PL/VM systems case only after ACM/OOPSLA page verification.,Human must verify the exact paper page/award source before using this as a representative case.
sigir_1980_e20f7878,Probabilistic Models of Indexing and Searching,SIGIR,1980,Natural Language Processing,Information Retrieval / Probabilistic Models,corrected,high,SIGIR venue and indexing/searching title support IR probability-model framing rather than broad NLP.,Use as an IR/probabilistic retrieval case; do not overstate it as modern NLP evidence.,Confirm contribution wording with SIGIR/ACM source before final report.
sigcomm_1974_5f7a35f6,Research Areas in Computer Communication,SIGCOMM,1974,Networking / Research Agenda,Networking / Research Agenda,aligned,medium,Title and venue support early networking research-agenda framing.,Use as a research-agenda/field-framing case; low citation count means it should not support high-citation claims.,Check award citation before using as a main slide case.
sigcomm_1998_d2b8808e,Modeling TCP Throughput: A Simple Model and Its Empirical Validation,SIGCOMM,1998,Networking / TCP Performance Modeling,Networking / TCP Performance Modeling,aligned,high,Title and venue support TCP performance-modeling framing.,Use as a network measurement/model case; avoid saying short lag proves faster technical value maturation.,Verify contribution phrase against paper/ACM source.
iccv_1999_ac21b391,Object Recognition from Local Scale-Invariant Features,ICCV,1999,Computer Vision,Computer Vision / Local Features,aligned,high,ICCV venue and scale-invariant local features support Computer Vision / SIFT-style feature framing.,Safe as a vision feature-representation case; industrial impact needs separate evidence.,Open paper/DOI before final slide wording.
sigmod_1993_cda45823,Mining Association Rules Between Sets of Items in Large Databases,SIGMOD,1993,Database / Systems,Data Mining / Association Rules,aligned,high,The paper defines association-rule mining inside database/data-mining context.,Use as problem-formulation/data-mining case; do not treat as pure database systems ranking evidence.,Confirm exact contribution wording and pair with VLDB 1994 only if the report explains the sequence.
wmcsa_1999_367b771d,Ad-hoc On-Demand Distance Vector Routing,WMCSA,1999,Human-Computer Interaction,Networking / Mobile Ad Hoc Routing,corrected,high,AODV is a mobile ad hoc network routing protocol; HCI API label is visibly inaccurate.,Use as a networking protocol case and as an example of why manual topic audit matters.,Verify IEEE page and avoid claiming deployment impact without evidence.
vldb_1994_ba6086d0,Fast Algorithms for Mining Association Rules in Large Databases,VLDB,1994,Data Mining / Web,Data Mining / Association Rules,aligned,high,Apriori/frequent itemset mining belongs to association-rule data mining.,Use as algorithmic continuation of association-rule line; do not double-count it as independent proof of industrial impact.,Check VLDB PDF before final contribution sentence.
ieee_transactions_on_information_theory_2000_f5a20c28,Network Information Flow,IEEE Transactions on Information Theory,2000,Machine Learning Theory,Information Theory / Network Coding,corrected,high,Network coding/information flow is better framed as information theory/network coding than ML theory.,Use as theory/network cross-over case; award source field must be stated carefully because venue is a journal.,Verify award seed source and DOI before using as a final representative slide.
