module,owner,core_issue,page_anchor,chart_or_ui_evidence,screenshot_path,primary_data_files,supporting_docs,report_section,safe_wording_boundary,remaining_human_check
Opening / project frame,A,#2,#top,"summary cards; insight deck; project question",docs/demo/homepage-overview.png,"data/papers_enriched.csv","docs/grading_rubric_full_score_mapping.md;docs/data_readiness_matrix.md","Abstract / Introduction","Describe the dataset as a curated Test-of-Time award sample enriched with public metadata; do not claim complete coverage of all influential CS papers.","Confirm final title/subtitle and dataset count in the submitted report."
Time / recognition lag,B,#3,#time,"lag histogram; publication-to-award timeline; time claim cards",docs/demo/time-and-timeline.png,"data/award_timeline.csv;data/recognition_lag_distribution.csv;data/citation_trajectories.csv","docs/time_recognition_lag_handoff.md;docs/time_micro_annotations.md;docs/recognition_lag_outlier_cases.md;docs/award_lifecycle_analysis.md","Findings 1: Time scale and recognition lag","Recognition lag equals announcement year minus publication year; use it as award-timing metadata, not causal evidence that the award changed citations.","Verify 2-3 selected paper award citations and keep pre/post citation language observational."
Venue / Field,C,#4,#venue,"top venue bars; venue area bars; venue-decade heatmap; venue claim cards",docs/demo/venue-and-field.png,"data/venue_stats.csv;data/venue_area_stats.csv;data/papers_enriched.csv","docs/venue_field_handoff.md;docs/venue_field_imbalance_caveats.md;docs/venue_year_case_studies.md;docs/venue_source_traceability_audit.md;docs/best_paper_vs_test_of_time_framing.md","Findings 2: Venue and field coverage","Venue counts describe visible award-history coverage in this dataset; do not frame them as conference quality rankings.","Choose 2-3 venue examples for slides and verify their source URLs before strong case wording."
Topic Evolution,D,#5,#topic,"topic distribution; topic evolution chart; representative paper detail; topic claim cards",docs/demo/topic-evolution.png,"data/topic_stats.csv;data/topic_year_stats.csv;manual_annotations/manual_paper_annotations_top12_evidence_ready.csv","docs/topic_evolution_handoff.md;docs/manual_topic_audit_top12.md;docs/topic_shift_narrative.md;docs/research_archetype_taxonomy.md","Findings 3: Topic patterns and research archetypes","Topic labels combine API metadata and manual audit; treat corrected/manual labels as presentation candidates and mark uncertain labels as needing review.","Open evidence URLs for final representative papers and adjust contribution wording if human reading disagrees with API topic."
Citation / Impact,E,#6,#citation,"citation vs lag scatter; trajectory chart; depth-breadth scatter; quadrant cards; citation claim cards",docs/demo/citation-and-impact.png,"data/citation_trajectories.csv;data/citing_breadth_metrics.csv;data/papers_enriched.csv","docs/citation_impact_handoff.md;docs/citation_trajectory_archetypes.md;docs/impact_breadth_evidence_audit.md;docs/evidence_coverage_matrix.md;docs/uncertainty_proxy_confidence_playbook.md","Findings 4: Citation depth, trajectory, and breadth","Citation depth and impact breadth are OpenAlex-derived descriptive proxies, not complete citation graphs or official award reasons.","Use coverage matrix statuses to decide which representative cases are presentation-ready and which need human checks."
Paper Explorer,D,#5,#explorer,"searchable evidence index; sorted paper list; detail-linked selected paper",docs/demo/explorer-evidence-index.png,"data/papers_enriched.csv;manual_annotations/manual_paper_annotations_top12_evidence_ready.csv","docs/evidence_cards_top12.md;docs/evidence_card_presentation_matrix.md;docs/evidence_coverage_matrix.md","Evidence appendix / representative cases","Explorer rows are a navigation aid over the dataset; do not treat missing manual annotations as negative evidence about a paper.","For final report cases, prefer rows marked presentation-ready-cautious and keep unchecked cases in backup."
Benchmark Lab,E,#6,#benchmark,"selected-paper percentile comparison; field median comparison; benchmark story card",docs/demo/benchmark-lab.png,"data/papers_enriched.csv;data/citing_breadth_metrics.csv","docs/citation_impact_handoff.md;docs/story_builder_board.md;docs/uncertainty_proxy_confidence_playbook.md","Case comparison / methods appendix","Percentiles are within the current enriched dataset or same-field subset, not universal CS-wide rankings.","Confirm chosen benchmark paper and avoid overclaiming when field subset size is small."
Story Builder,A,#2,#storyboard,"question-evidence-interpretation-boundary-owner cards",,"data/papers_enriched.csv","docs/story_builder_board.md;docs/report/report_skeleton.md;docs/contribution_evidence_ledger.md","Report structure / conclusion","Story Builder is a report-planning crosswalk; final prose still needs owner review and evidence URL checks.","Each owner should copy only the claim rows they verified into the final report."
Glossary / metric explainer,F,#7,#glossary,"metric cards; safe wording phrases; proxy definitions",,"data/papers_enriched.csv","docs/glossary_metric_explainer.md;docs/defense_qa_pack.md;docs/uncertainty_proxy_confidence_playbook.md","Methods / limitations / defense Q&A","Use glossary definitions consistently; do not replace metric boundaries with stronger causal or official-judgment language.","Paste the final wording into PPT speaker notes and keep terms consistent across slides."
Network diffusion,F,#7,#network,"institution bars; country bars; network KPIs; network claim cards",docs/demo/network-diffusion.png,"data/institution_stats.csv;data/country_stats.csv;data/papers_enriched.csv","docs/network_visual_presentation_handoff.md;docs/network_ecosystem_case_notes.md;docs/slide_visual_consistency_audit.md;docs/live_demo_fallback_script.md","Findings 5: Collaboration and metadata visibility","Institution and country views reflect affiliation metadata visibility in OpenAlex-derived records; avoid ranking institutions or countries by research quality.","Select final network cases and preserve metadata-boundary wording during presentation rehearsal."
