path,category,required,submission_note
README.md,onboarding,yes,Entry document with project topic demo link local-run instructions screenshots and collaboration workflow
index.html,frontend,yes,Main D3 single-page dashboard entry point
src/app.js,frontend,yes,D3 data loading rendering interactions presentation mode and reading notes
src/styles.css,frontend,yes,Shared visual system responsive layout and presentation-mode styling
.github/pull_request_template.md,collaboration,yes,PR checklist and teammate merge standard
docs/project_plan.md,planning,yes,Current project plan and research framing
docs/team_division.md,collaboration,yes,A-F role division and delivery responsibilities
docs/work_board.md,collaboration,yes,Primary issue-to-owner work board
docs/stretch_issue_assignment_board.md,collaboration,yes,Stretch issue routing back to A-F owner containers
docs/final_qa_checklist.md,qa,yes,Final repository and presentation QA checklist
docs/final_submission_packaging_checklist.md,qa,yes,Archive creation and exclusion checklist
docs/final_archive_manifest.md,qa,yes,Human-readable final archive manifest and evidence map
docs/final_archive_file_manifest.csv,qa,yes,Machine-readable required-file manifest
docs/final_integration_dry_run_log.md,qa,yes,Latest integration dry-run results and remaining human checks
docs/grading_rubric_full_score_mapping.md,grading,yes,Rubric-to-evidence mapping for final review
docs/data_dictionary.md,data,yes,Field definitions and metric explanations
docs/data_provenance_audit.md,data,yes,Source and proxy provenance audit
data/papers_enriched.csv,data,yes,Primary enriched Test-of-Time paper table
data/award_timeline.csv,data,yes,Publication-to-award timeline data
data/recognition_lag_distribution.csv,data,yes,Recognition-lag distribution for Time module
data/venue_stats.csv,data,yes,Venue aggregation for Venue module
data/venue_area_stats.csv,data,yes,Venue-area aggregation for field view
data/topic_stats.csv,data,yes,Topic aggregation for Topic module
data/topic_year_stats.csv,data,yes,Topic-by-year/decade trend source
data/citation_trajectories.csv,data,yes,Yearly citation trajectories for Citation module
data/citing_breadth_metrics.csv,data,yes,OpenAlex sampled impact-breadth proxy components
data/institution_stats.csv,data,yes,Institution visibility aggregation for Network module
data/country_stats.csv,data,yes,Country/region visibility aggregation for Network module
manual_annotations/manual_paper_annotations_top12_evidence_ready.csv,evidence,yes,Top-12 representative-paper evidence and human-check template
manual_annotations/manual_paper_annotations_top60_template.csv,evidence,recommended,Top-60 manual annotation template for broader teammate review
manual_annotations/manual_paper_annotations_all_template.csv,evidence,recommended,Full manual annotation fallback template
docs/evidence_cards_top12.md,evidence,yes,Representative evidence-card notes for report/PPT cases
docs/evidence_card_presentation_matrix.md,evidence,yes,Presentation-ready vs needs-check evidence-card matrix
docs/evidence_coverage_matrix.md,evidence,yes,B-F and Top-12 evidence coverage audit
docs/top12_evidence_coverage_matrix.csv,evidence,yes,Machine-readable Top-12 evidence coverage matrix
docs/report/report_skeleton.md,report,yes,Final report skeleton and module findings matrix
docs/report/contribution_A.md,report,yes,A contribution evidence paragraph and artifact list
docs/contribution_evidence_ledger.md,report,yes,A-F contribution evidence ledger
docs/story_builder_board.md,report,yes,Cross-module claim board for report/PPT route
docs/final_report_figure_evidence_index.md,report,yes,Chart-to-claim crosswalk linking modules screenshots data files report sections owners and safe wording
docs/final_report_figure_evidence_index.csv,report,yes,Machine-readable figure/evidence index for final report and PPT checks
docs/presentation_pack.md,presentation,yes,Demo and presentation route pack
docs/final_presentation_blueprint.md,presentation,yes,Slide-by-slide production blueprint
docs/defense_qa_pack.md,presentation,yes,Teacher/classmate Q&A answer bank
docs/live_demo_fallback_script.md,presentation,yes,Offline screenshot fallback route
docs/slide_visual_consistency_audit.md,presentation,yes,Screenshot-to-slide consistency audit
docs/demo/homepage-overview.png,demo,yes,Homepage screenshot for README/PPT fallback
docs/demo/time-and-timeline.png,demo,yes,Time module screenshot for README/PPT fallback
docs/demo/venue-and-field.png,demo,yes,Venue module screenshot for README/PPT fallback
docs/demo/topic-evolution.png,demo,yes,Topic module screenshot for README/PPT fallback
docs/demo/citation-and-impact.png,demo,yes,Citation module screenshot for README/PPT fallback
docs/demo/explorer-evidence-index.png,demo,yes,Explorer evidence screenshot for README/PPT fallback
docs/demo/benchmark-lab.png,demo,yes,Benchmark Lab screenshot for README/PPT fallback
docs/demo/network-diffusion.png,demo,yes,Network screenshot for README/PPT fallback
docs/demo/online-demo-qr.png,demo,recommended,QR image for optional online demo handoff
docs/time_recognition_lag_handoff.md,module-handoff,yes,B owner handoff with metric definition and findings
docs/venue_field_handoff.md,module-handoff,yes,C owner handoff with venue/field findings and caveats
docs/topic_evolution_handoff.md,module-handoff,yes,D owner handoff with topic findings and manual-audit route
docs/citation_impact_handoff.md,module-handoff,yes,E owner handoff with citation/breadth proxy wording
docs/network_visual_presentation_handoff.md,module-handoff,yes,F owner handoff with network/presentation route
