paper_id,title,year,venue,manual_topic_label,citation_count,impact_breadth_score,proposed_research_archetype,archetype_definition,archetype_rationale,archetype_review_status,safe_wording_boundary
kdd_1996_1b93ceb4,A Density-Based Algorithm for Discovering Clusters in Large Spatial Databases with Noise,1996,KDD,Data Mining / Clustering,19133,81.12,Reusable algorithm / 可复用算法范式,Algorithmic method that becomes a reusable analytic primitive,DBSCAN is a named clustering algorithm reused across spatial/data-mining tasks.,manual review needed,Proposed classification for report/PPT planning; verify exact contribution wording against evidence URLs before final claims.
iccv_1987_56f24279,Snakes: Active Contour Models,1987,ICCV,Computer Vision / Segmentation,17009,68.5,Modeling framework / 建模框架,A conceptual or mathematical modeling frame reused by later work,Active contour models frame segmentation as energy-minimizing curve evolution.,manual review needed,Proposed classification for report/PPT planning; verify exact contribution wording against evidence URLs before final claims.
kdd_2005_ebddb36d,"Graphs over Time: Densification Laws, Shrinking Diameters and Possible Explanations",2005,KDD,Data Mining / Network Science,847,87.38,Empirical law / 经验规律,A dataset-backed regularity or law that helps later work reason about a phenomenon,Densification and shrinking-diameter observations summarize recurring graph evolution patterns.,manual review needed,Proposed classification for report/PPT planning; verify exact contribution wording against evidence URLs before final claims.
oopsla_2001_a9f21d83,Multitasking without compromise: a virtual machine evolution,2001,OOPSLA,Programming Languages / Virtual Machines,2212,86.5,Infrastructure/tool platform / 基础设施或工具平台,A system or runtime design that changes how later software is built or executed,The VM evolution paper concerns runtime/platform design tradeoffs.,manual review needed,Proposed classification for report/PPT planning; verify exact contribution wording against evidence URLs before final claims.
sigir_1980_e20f7878,Probabilistic Models of Indexing and Searching,1980,SIGIR,Information Retrieval / Probabilistic Models,316,58.62,Probabilistic theory/model / 概率理论模型,A theoretical or statistical model that provides a reusable ranking/search explanation,Probabilistic indexing/searching provides an IR retrieval model family.,manual review needed,Proposed classification for report/PPT planning; verify exact contribution wording against evidence URLs before final claims.
sigcomm_1974_5f7a35f6,Research Areas in Computer Communication,1974,SIGCOMM,Networking / Research Agenda,9,31.62,Research agenda / 研究议程,"A field-defining survey, agenda, or problem framing that organizes later research directions",The title and venue indicate a communication-research agenda rather than a single system metric.,manual review needed,Proposed classification for report/PPT planning; verify exact contribution wording against evidence URLs before final claims.
sigcomm_1998_d2b8808e,Modeling TCP Throughput: A Simple Model and Its Empirical Validation,1998,SIGCOMM,Networking / TCP Performance Modeling,36,56.12,Measurement model / 测量与性能模型,An empirical model that makes a system behavior measurable and comparable,The TCP throughput model links a simple formula to empirical validation.,manual review needed,Proposed classification for report/PPT planning; verify exact contribution wording against evidence URLs before final claims.
iccv_1999_ac21b391,Object Recognition from Local Scale-Invariant Features,1999,ICCV,Computer Vision / Local Features,16147,65.88,Reusable algorithm / 可复用算法范式,Algorithmic method that becomes a reusable analytic primitive,SIFT is a reusable local-feature method for visual recognition pipelines.,manual review needed,Proposed classification for report/PPT planning; verify exact contribution wording against evidence URLs before final claims.
sigmod_1993_cda45823,Mining Association Rules Between Sets of Items in Large Databases,1993,SIGMOD,Database / Association Rules,14771,66.75,Reusable algorithm / 可复用算法范式,Algorithmic method that becomes a reusable analytic primitive,Association-rule mining introduced a reusable pattern-mining task/formulation.,manual review needed,Proposed classification for report/PPT planning; verify exact contribution wording against evidence URLs before final claims.
wmcsa_1999_367b771d,Ad-hoc On-Demand Distance Vector Routing,1999,WMCSA,Networking / Mobile Ad Hoc Routing,10309,44.25,Protocol/system design / 协议或系统设计,"A concrete network/system design later used as a baseline, comparison point, or operational pattern",AODV is a mobile ad hoc routing protocol design.,manual review needed,Proposed classification for report/PPT planning; verify exact contribution wording against evidence URLs before final claims.
vldb_1994_ba6086d0,Fast Algorithms for Mining Association Rules in Large Databases,1994,VLDB,Data Mining / Association Rules,9384,58.88,Scalable algorithm engineering / 可扩展算法工程,An algorithmic improvement focused on making a known analytical task efficient at scale,The paper focuses on fast algorithms for large-database association-rule mining.,manual review needed,Proposed classification for report/PPT planning; verify exact contribution wording against evidence URLs before final claims.
ieee_transactions_on_information_theory_2000_f5a20c28,Network Information Flow,2000,IEEE Transactions on Information Theory,Information Theory / Network Coding,7857,66.38,Foundational theory / 基础理论,A theoretical result or abstraction that changes what later systems/research can reason about,Network information flow is a foundational network-coding theory paper.,manual review needed,Proposed classification for report/PPT planning; verify exact contribution wording against evidence URLs before final claims.
