case_type,paper_id,title,venue,year,recognition_lag,citation_count,citation_depth_percentile,impact_breadth_score,impact_breadth_percentile,citing_field_count,citing_institution_count,citing_country_count,source_url,claim_use,safe_wording_boundary,remaining_human_check
high depth + high breadth,kdd_1996_1b93ceb4,A Density-Based Algorithm for Discovering Clusters in Large Spatial Databases with Noise,KDD,1996,18,19133,100.0,81.12,98.4,78,121,24,https://github.com/LCS2-IIITD/influence-dispersion/blob/master/data/TestOfTimeAwards.csv,Use as safest examples where citation depth and sampled breadth point in the same direction.,Can say both citation depth and sampled breadth are high in this dataset; do not say the award was caused by these metrics.,Read source / paper page before making contribution-specific claims; keep OpenAlex metrics descriptive.
high depth + high breadth,iccv_1987_56f24279,Snakes: Active Contour Models,ICCV,1987,26,17009,99.6,68.50,89.6,77,128,18,https://github.com/LCS2-IIITD/influence-dispersion/blob/master/data/TestOfTimeAwards.csv,Use as safest examples where citation depth and sampled breadth point in the same direction.,Can say both citation depth and sampled breadth are high in this dataset; do not say the award was caused by these metrics.,Read source / paper page before making contribution-specific claims; keep OpenAlex metrics descriptive.
high depth + moderate breadth,wmcsa_1999_367b771d,Ad-hoc On-Demand Distance Vector Routing,WMCSA,1999,19,10309,98.0,44.25,6.4,44,42,9,https://github.com/LCS2-IIITD/influence-dispersion/blob/master/data/TestOfTimeAwards.csv,Use to show citation count alone does not fully describe diffusion breadth.,Can contrast depth with more moderate sampled breadth; do not imply limited real-world influence.,Read source / paper page before making contribution-specific claims; keep OpenAlex metrics descriptive.
high depth + moderate breadth,vldb_1994_ba6086d0,Fast Algorithms for Mining Association Rules in Large Databases,VLDB,1994,10,9384,97.6,58.88,63.6,77,59,16,https://github.com/LCS2-IIITD/influence-dispersion/blob/master/data/TestOfTimeAwards.csv,Use to show citation count alone does not fully describe diffusion breadth.,Can contrast depth with more moderate sampled breadth; do not imply limited real-world influence.,Read source / paper page before making contribution-specific claims; keep OpenAlex metrics descriptive.
moderate depth + high breadth,kdd_2005_ebddb36d,"Graphs over Time: Densification Laws, Shrinking Diameters and Possible Explanations",KDD,2005,11,847,62.4,87.38,100.0,86,151,28,https://github.com/LCS2-IIITD/influence-dispersion/blob/master/data/TestOfTimeAwards.csv,Use to explain why breadth proxy adds a different view from raw citation count.,Can say OpenAlex sampled citing venues/fields look broad; do not treat breadth score as complete citation network coverage.,Read source / paper page before making contribution-specific claims; keep OpenAlex metrics descriptive.
moderate depth + high breadth,www_2007_973301ac,YAGO: A Core of Semantic Knowledge Unifying WordNet and Wikipedia,WWW,2007,11,1186,74.0,85.88,99.2,82,135,31,https://github.com/LCS2-IIITD/influence-dispersion/blob/master/data/TestOfTimeAwards.csv,Use to explain why breadth proxy adds a different view from raw citation count.,Can say OpenAlex sampled citing venues/fields look broad; do not treat breadth score as complete citation network coverage.,Read source / paper page before making contribution-specific claims; keep OpenAlex metrics descriptive.
long recognition lag,sigir_1980_e20f7878,Probabilistic Models of Indexing and Searching,SIGIR,1980,34,316,33.2,58.62,59.6,81,53,17,https://github.com/LCS2-IIITD/influence-dispersion/blob/master/data/TestOfTimeAwards.csv,Use to connect citation metrics back to the time-recognition story.,Can say recognition lag is award timing metadata; do not say longer lag means higher quality or slower impact.,Read source / paper page before making contribution-specific claims; keep OpenAlex metrics descriptive.
long recognition lag,sigcomm_1974_e56e4374,The ALOHA system,SIGCOMM,1974,32,2029,83.6,53.12,32.4,62,57,12,https://github.com/LCS2-IIITD/influence-dispersion/blob/master/data/TestOfTimeAwards.csv,Use to connect citation metrics back to the time-recognition story.,Can say recognition lag is award timing metadata; do not say longer lag means higher quality or slower impact.,Read source / paper page before making contribution-specific claims; keep OpenAlex metrics descriptive.
proxy-limited / low metadata evidence,sigir_2003_b86e5ee4,Stuff I’ve seen: a system for personal information retrieval and re-use,SIGIR,2003,15,0,0.8,0.00,0.8,0,0,0,https://github.com/LCS2-IIITD/influence-dispersion/blob/master/data/TestOfTimeAwards.csv,Use as caution examples when discussing missing or sparse public metadata.,Can say public metadata is limited for this row; do not infer the paper had low actual influence.,Read source / paper page before making contribution-specific claims; keep OpenAlex metrics descriptive.
proxy-limited / low metadata evidence,usenix_security_1999_8ca68c47,Why Johnny Can’t Encrypt: A Usability Evaluation of PGP 5.0,USENIX Security,1999,16,0,0.8,0.00,0.8,0,0,0,https://github.com/LCS2-IIITD/influence-dispersion/blob/master/data/TestOfTimeAwards.csv,Use as caution examples when discussing missing or sparse public metadata.,Can say public metadata is limited for this row; do not infer the paper had low actual influence.,Read source / paper page before making contribution-specific claims; keep OpenAlex metrics descriptive.
