venue_area,topic_label,paper_count,venue_count,venues,publication_year_span,avg_recognition_lag,avg_citation_count,avg_impact_breadth_score,source_url_coverage,openalex_coverage,representative_papers,report_use,safe_wording_boundary
Database,Database / Systems,29,2,SIGMOD; VLDB,1985-2008,10.1,966.0,55.5,29/29,29/29,Mining Association Rules Between Sets of Items in Large Databases (SIGMOD 1993); A Case for Redundant Arrays of Inexpensive Disks (RAID) (SIGMOD 1988); Order-Preserving Encryption for Numeric Data (SIGMOD 2004),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
CV,Computer Vision,23,1,ICCV,1987-2005,16.1,3432.6,62.5,23/23,23/23,Snakes: Active Contour Models (ICCV 1987); Object Recognition from Local Scale-Invariant Features (ICCV 1999); Bilateral Filtering for Gray and Color Images (ICCV 1998),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
IR,Natural Language Processing,13,1,SIGIR,1980-2005,19.5,1240.1,54.7,13/13,13/13,"Probabilistic Latent Semantic Indexing (SIGIR 1999); Beyond independent relevance: methods and evaluation metrics for subtopic retrieval (SIGIR 2003); The use of MMR, Diversity-based Reranking for Reordering Documents and Producing Summaries (SIGIR 1998)","Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
Networking,Database / Systems,11,2,CCR; SIGCOMM,1974-2008,16.2,2350.5,54.4,11/11,11/11,"Chord: A Scalable Peer-to-peer Lookup Service for Internet Applications (SIGCOMM 2001); A Scalable Content-addressable Network (SIGCOMM 2001); A Scalable, Commodity Data Center Network Architecture (SIGCOMM 2008)","Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
Database,Data Mining / Web,9,2,SIGMOD; VLDB,1987-2004,10.0,1992.0,56.6,9/9,9/9,Fast Algorithms for Mining Association Rules in Large Databases (VLDB 1994); BIRCH: An Efficient Data Clustering Method for Very Large Databases (SIGMOD 1996); Generic Schema Matching With Cupid (VLDB 2001),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
Software Engineering,Database / Systems,9,1,ICSE,1975-2002,10.6,274.1,57.5,9/9,9/9,The Source Code Control System (ICSE 1975); Architecture-Based Runtime Software Evolution (ICSE 1998); Designing Distributed Applications with Mobile Code Paradigms (ICSE 1997),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
IR,Data Mining / Web,8,1,SIGIR,1990-2006,17.2,700.8,55.0,8/8,8/8,Some Simple Effective Approximation to the 2-Poisson Model for Probabilistic Weighted Retrieval (SIGIR 1994); Improving web search ranking by incorporating user behavior information (SIGIR 2006); Query Expansion using Local and Global Document Analysis (SIGIR 1996),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
Software Engineering,Data Mining / Web,8,1,ICSE,1981-2005,10.2,452.6,58.6,8/8,8/8,Software Processes are Software Too (ICSE 1987); Is Mutation an Appropriate Tool for Testing Experiments? (ICSE 2005); Program Slicing (ICSE 1981),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
DM/Web,Data Mining / Web,6,2,ICDM; KDD,2001-2008,10.0,1927.5,63.6,6/6,6/6,Optimizing Search Engines using Clickthrough Data (KDD 2002); Collaborative Filtering for Implicit Feedback Datasets (ICDM 2008); gSpan: Graph-Based Substructure Pattern Mining (ICDM 2002),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
Networking,Data Mining / Web,6,2,IMC; SIGCOMM,1974-2007,15.7,1502.2,52.3,6/6,6/6,On Power-Law Relationships of the Internet Topology (SIGCOMM 1999); Measurement and analysis of online social networks (IMC 2007); A Digital Fountain Approach to Reliable Distribution of Bulk Data (SIGCOMM 1998),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
