queue_bucket,priority,owner,parent_issue,stretch_issue,paper_id,title,venue,year,claim_use,coverage_status,risk_level,evidence_links_count,citation_count,impact_breadth_score,safe_wording,remaining_human_check,owner_next_action,source_files
ready-cautious,P0,E,#6,#124,sigmod_1993_cda45823,Mining Association Rules Between Sets of Items in Large Databases,SIGMOD,1993,presentation-ready cautious case,presentation-ready-cautious,medium,6,14771,66.75,Use as a topic representative · database / systems example with OpenAlex citation/breadth metrics framed as descriptive proxies; verify paper-specific contribution wording before final report/PPT.,ready for cautious classroom wording,Use cautiously; still open evidence URLs once before final report/PPT.,docs/final_case_selection_risk_register.csv; docs/top12_evidence_coverage_matrix.csv; manual_annotations/manual_paper_annotations_top12_evidence_ready.csv
ready-cautious,P0,E,#6,#124,iccv_1987_56f24279,Snakes: Active Contour Models,ICCV,1987,presentation-ready cautious case,presentation-ready-cautious,medium,5,17009,68.5,Use as a highest citation depth example with OpenAlex citation/breadth metrics framed as descriptive proxies; verify paper-specific contribution wording before final report/PPT.,ready for cautious classroom wording,Use cautiously; still open evidence URLs once before final report/PPT.,docs/final_case_selection_risk_register.csv; docs/top12_evidence_coverage_matrix.csv; manual_annotations/manual_paper_annotations_top12_evidence_ready.csv
ready-cautious,P0,E,#6,#124,iccv_1999_ac21b391,Object Recognition from Local Scale-Invariant Features,ICCV,1999,presentation-ready cautious case,presentation-ready-cautious,medium,5,16147,65.88,Use as a topic representative · computer vision example with OpenAlex citation/breadth metrics framed as descriptive proxies; verify paper-specific contribution wording before final report/PPT.,ready for cautious classroom wording,Use cautiously; still open evidence URLs once before final report/PPT.,docs/final_case_selection_risk_register.csv; docs/top12_evidence_coverage_matrix.csv; manual_annotations/manual_paper_annotations_top12_evidence_ready.csv
ready-cautious,P0,E,#6,#124,ieee_transactions_on_information_theory_2000_f5a20c28,Network Information Flow,IEEE Transactions on Information Theory,2000,presentation-ready cautious case,presentation-ready-cautious,medium,5,7857,66.38,Use as a topic representative · machine learning theory example with OpenAlex citation/breadth metrics framed as descriptive proxies; verify paper-specific contribution wording before final report/PPT.,ready for cautious classroom wording,Use cautiously; still open evidence URLs once before final report/PPT.,docs/final_case_selection_risk_register.csv; docs/top12_evidence_coverage_matrix.csv; manual_annotations/manual_paper_annotations_top12_evidence_ready.csv
ready-cautious,P0,E,#6,#124,kdd_1996_1b93ceb4,A Density-Based Algorithm for Discovering Clusters in Large Spatial Databases with Noise,KDD,1996,presentation-ready cautious case,presentation-ready-cautious,medium,4,19133,81.12,Use as a highest citation depth example with OpenAlex citation/breadth metrics framed as descriptive proxies; verify paper-specific contribution wording before final report/PPT.,ready for cautious classroom wording,Use cautiously; still open evidence URLs once before final report/PPT.,docs/final_case_selection_risk_register.csv; docs/top12_evidence_coverage_matrix.csv; manual_annotations/manual_paper_annotations_top12_evidence_ready.csv
ready-cautious,P0,E,#6,#124,vldb_1994_ba6086d0,Fast Algorithms for Mining Association Rules in Large Databases,VLDB,1994,presentation-ready cautious case,presentation-ready-cautious,medium,4,9384,58.88,Use as a topic representative · data mining / web example with OpenAlex citation/breadth metrics framed as descriptive proxies; verify paper-specific contribution wording before final report/PPT.,ready for cautious classroom wording,Use cautiously; still open evidence URLs once before final report/PPT.,docs/final_case_selection_risk_register.csv; docs/top12_evidence_coverage_matrix.csv; manual_annotations/manual_paper_annotations_top12_evidence_ready.csv
verify-before-final,P1,E,#6,#124,kdd_2005_ebddb36d,"Graphs over Time: Densification Laws, Shrinking Diameters and Possible Explanations",KDD,2005,backup case after quick human check,presentation-ready-cautious,medium-high,6,847,87.38,Use as a broadest influence proxy example with OpenAlex citation/breadth metrics framed as descriptive proxies; verify paper-specific contribution wording before final report/PPT.,ready for cautious classroom wording,"Keep as backup; verify source page, contribution sentence, and proxy wording before final slides.",docs/final_case_selection_risk_register.csv; docs/top12_evidence_coverage_matrix.csv; manual_annotations/manual_paper_annotations_top12_evidence_ready.csv
verify-before-final,P1,E,#6,#124,oopsla_2001_a9f21d83,Multitasking without compromise: a virtual machine evolution,OOPSLA,2001,backup case after quick human check,presentation-ready-cautious,medium-high,6,2212,86.5,Use as a broadest influence proxy example with OpenAlex citation/breadth metrics framed as descriptive proxies; verify paper-specific contribution wording before final report/PPT.,ready for cautious classroom wording,"Keep as backup; verify source page, contribution sentence, and proxy wording before final slides.",docs/final_case_selection_risk_register.csv; docs/top12_evidence_coverage_matrix.csv; manual_annotations/manual_paper_annotations_top12_evidence_ready.csv
verify-before-final,P1,E,#6,#124,sigir_1980_e20f7878,Probabilistic Models of Indexing and Searching,SIGIR,1980,backup case after quick human check,presentation-ready-cautious,medium-high,5,316,58.62,Use as a longest recognition lag example with OpenAlex citation/breadth metrics framed as descriptive proxies; verify paper-specific contribution wording before final report/PPT.,ready for cautious classroom wording,"Keep as backup; verify source page, contribution sentence, and proxy wording before final slides.",docs/final_case_selection_risk_register.csv; docs/top12_evidence_coverage_matrix.csv; manual_annotations/manual_paper_annotations_top12_evidence_ready.csv
verify-before-final,P1,E,#6,#124,wmcsa_1999_367b771d,Ad-hoc On-Demand Distance Vector Routing,WMCSA,1999,backup case after quick human check,presentation-ready-cautious,medium-high,5,10309,44.25,Use as a topic representative · human-computer interaction example with OpenAlex citation/breadth metrics framed as descriptive proxies; verify paper-specific contribution wording before final report/PPT.,ready for cautious classroom wording,"Keep as backup; verify source page, contribution sentence, and proxy wording before final slides.",docs/final_case_selection_risk_register.csv; docs/top12_evidence_coverage_matrix.csv; manual_annotations/manual_paper_annotations_top12_evidence_ready.csv
verify-before-final,P1,E,#6,#124,sigcomm_1998_d2b8808e,Modeling TCP Throughput: A Simple Model and Its Empirical Validation,SIGCOMM,1998,backup case after quick human check,presentation-ready-cautious,medium-high,4,36,56.12,Use as a shortest recognition lag example with OpenAlex citation/breadth metrics framed as descriptive proxies; verify paper-specific contribution wording before final report/PPT.,industry/foundational claim needs note,"Keep as backup; verify source page, contribution sentence, and proxy wording before final slides.",docs/final_case_selection_risk_register.csv; docs/top12_evidence_coverage_matrix.csv; manual_annotations/manual_paper_annotations_top12_evidence_ready.csv
avoid-without-extra-evidence,P2,E,#6,#124,sigcomm_1974_5f7a35f6,Research Areas in Computer Communication,SIGCOMM,1974,background / contrast only,presentation-ready-cautious,high,5,9,31.62,Use only as a cautious contrast or background case until a teammate reads the linked paper/award evidence.,industry/foundational claim needs note,Do not use as a named claim until evidence URL and contribution wording are verified.,docs/final_case_selection_risk_register.csv; docs/top12_evidence_coverage_matrix.csv; manual_annotations/manual_paper_annotations_top12_evidence_ready.csv
