case_type,paper_id,title,venue,year,announcement_year,citation_count,impact_breadth_score,institutions,countries,source_url,why_notable,safe_wording,human_check_status
university-cluster example,iccv_1998_99fb2c6a,Bilateral Filtering for Gray and Color Images,ICCV,1998,2013,8050,59.5,Stanford University | Apple (Germany) | Apple (United States),US | DE,https://doi.org/10.1109/iccv.1998.710815,Links a high-frequency university node (Stanford University) to a named Test-of-Time paper.,"Safe: use as an example of visible institution metadata in this dataset, not as proof the institution caused the award.",needs final wording/evidence check before using as a named slide case
university-cluster example,iccv_2001_8e7ef59f,A Database of Human Segmented Natural Images and Its Application to Evaluating Segmentation Algorithms and Measuring Ecological Statistics,ICCV,2001,2016,7941,62.88,"University of California, Berkeley",US,https://doi.org/10.1109/iccv.2001.937655,"Links a high-frequency university node (University of California, Berkeley) to a named Test-of-Time paper.","Safe: use as an example of visible institution metadata in this dataset, not as proof the institution caused the award.",needs final wording/evidence check before using as a named slide case
industry-lab visibility example,iccv_1987_56f24279,Snakes: Active Contour Models,ICCV,1987,2013,17009,68.5,Schlumberger (United States) | Schlumberger (British Virgin Islands),US | VG,https://doi.org/10.1007/bf00133570,"Shows industry-lab or industry-affiliated metadata (['Schlumberger (United States)', 'Schlumberger (British Virgin Islands)']) within the long-impact corpus.",Safe: say industry labs are visible in the metadata; do not claim industrial adoption unless a separate evidence URL supports it.,needs final wording/evidence check before using as a named slide case
industry-lab visibility example,sigmod_1993_cda45823,Mining Association Rules Between Sets of Items in Large Databases,SIGMOD,1993,2003,14771,66.75,"IBM Research - Almaden | Rutgers, The State University of New Jersey",US,https://doi.org/10.1145/170035.170072,Shows industry-lab or industry-affiliated metadata (['IBM Research - Almaden']) within the long-impact corpus.,Safe: say industry labs are visible in the metadata; do not claim industrial adoption unless a separate evidence URL supports it.,needs final wording/evidence check before using as a named slide case
international-collaboration example,vldb_2000_1f64865f,Database replication: a tale of research across communities,VLDB,2000,2010,13125,81.12,Michigan State University | Indian Institute of Science Bangalore | The Ohio State University,US | IN,https://doi.org/10.1145/331499.331504,"Has multiple country/region metadata values (US, IN), useful for discussing cross-region visibility.","Safe: describe OpenAlex country metadata as visible affiliation spread, not complete author contribution shares.",needs final wording/evidence check before using as a named slide case
international-collaboration example,acm_mobicom_2002_e34a4638,Wake on Wireless: An Event Driven Energy Saving Strategy for Battery Operated Devices,ACM MobiCom,2002,2018,8135,75.88,The University of Texas at Austin | Università degli studi di Cassino e del Lazio Meridionale | Consorzio Nazionale Interuniversitario per le Telecomunicazioni | Korea Advanced Institute of Science and Technology | Macquarie University,US | IT | KR | AU | ES,https://doi.org/10.1109/jsac.2014.2328098,"Has multiple country/region metadata values (US, IT, KR, AU), useful for discussing cross-region visibility.","Safe: describe OpenAlex country metadata as visible affiliation spread, not complete author contribution shares.",needs final wording/evidence check before using as a named slide case
non-US visibility example,kdd_1996_1b93ceb4,A Density-Based Algorithm for Discovering Clusters in Large Spatial Databases with Noise,KDD,1996,2014,19133,81.12,Ludwig-Maximilians-Universität München,DE,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.121.9220,Includes non-US country/region metadata (DE) while keeping the US-heavy aggregate pattern in context.,Safe: use to show diversity exists inside a US-heavy dataset; do not rank national research strength.,needs final wording/evidence check before using as a named slide case
non-US visibility example,iccv_1999_ac21b391,Object Recognition from Local Scale-Invariant Features,ICCV,1999,2011,16147,65.88,University of British Columbia,CA,https://doi.org/10.1109/iccv.1999.790410,Includes non-US country/region metadata (CA) while keeping the US-heavy aggregate pattern in context.,Safe: use to show diversity exists inside a US-heavy dataset; do not rank national research strength.,needs final wording/evidence check before using as a named slide case
metadata-boundary example,vldb_1994_ba6086d0,Fast Algorithms for Mining Association Rules in Large Databases,VLDB,1994,2004,9384,58.88,,,https://dl.acm.org/citation.cfm?id=672836,"Shows how a major paper may appear with sparse affiliation metadata (0 institution, 0 country/region), supporting the limitation discussion.",Safe: sparse metadata means absence from a network chart is not absence of influence or collaboration.,needs final wording/evidence check before using as a named slide case
metadata-boundary example,sigcomm_2001_c9228ba7,Chord: A Scalable Peer-to-peer Lookup Service for Internet Applications,SIGCOMM,2001,2011,6403,44.62,International Computer Science Institute,US,https://doi.org/10.1145/383059.383072,"Shows how a major paper may appear with sparse affiliation metadata (1 institution, 1 country/region), supporting the limitation discussion.",Safe: sparse metadata means absence from a network chart is not absence of influence or collaboration.,needs final wording/evidence check before using as a named slide case
